title: test  nSrf: 21795  downL: 300.000                    
1 293.206 0.91 0.10 1.50 298.150
2 293.770 0.60 0.10 1.50 298.150
3 295.055 0.60 0.10 1.50 298.150
4 293.712 0.60 0.10 1.50 298.150
5 292.127 0.81 0.10 1.50 298.150
6 298.110 0.60 0.10 1.50 298.150
7 294.217 0.60 0.10 1.50 298.150
8 297.213 0.97 0.10 1.50 298.150
9 297.650 0.60 0.10 1.50 298.150
10 297.753 0.60 0.10 1.50 298.150
11 295.538 0.60 0.10 1.50 298.150
12 294.602 0.60 0.10 1.50 298.150
13 297.497 0.60 0.10 1.50 298.150
14 293.782 0.60 0.10 1.50 298.150
15 294.614 0.74 0.10 1.50 298.150
16 295.347 0.60 0.10 1.50 298.150
17 295.817 0.60 0.10 1.50 298.150
18 295.874 0.60 0.10 1.50 298.150
19 293.582 0.60 0.10 1.50 298.150
20 293.081 0.91 0.10 1.50 298.150
21 293.628 0.95 0.10 1.50 298.150
22 295.830 0.60 0.10 1.50 298.150
23 293.865 0.60 0.10 1.50 298.150
24 293.680 0.60 0.10 1.50 298.150
25 294.367 0.60 0.10 1.50 298.150
26 294.860 0.60 0.10 1.50 298.150
27 297.099 0.60 0.10 1.50 298.150
28 297.689 0.60 0.10 1.50 298.150
29 297.276 0.60 0.10 1.50 298.150
30 294.843 0.60 0.10 1.50 298.150
31 297.705 0.60 0.10 1.50 298.150
32 296.909 0.60 0.10 1.50 298.150
33 293.489 0.60 0.10 1.50 298.150
34 298.139 0.60 0.10 1.50 298.150
35 298.092 0.97 0.10 1.50 298.150
36 297.742 0.60 0.10 1.50 298.150
37 293.575 0.60 0.10 1.50 298.150
38 297.216 0.60 0.10 1.50 298.150
39 297.336 0.60 0.10 1.50 298.150
40 295.877 0.96 0.10 1.50 298.150
41 297.419 0.60 0.10 1.50 298.150
42 297.585 0.60 0.10 1.50 298.150
43 296.583 0.96 0.10 1.50 298.150
44 296.286 0.60 0.10 1.50 298.150
45 295.328 0.74 0.10 1.50 298.150
46 297.611 0.60 0.10 1.50 298.150
47 292.609 0.95 0.10 1.50 298.150
48 297.435 0.60 0.10 1.50 298.150
49 297.238 0.60 0.10 1.50 298.150
50 297.728 0.60 0.10 1.50 298.150
51 296.723 0.60 0.10 1.50 298.150
52 294.417 0.96 0.10 1.50 298.150
53 297.951 0.60 0.10 1.50 298.150
54 298.143 0.60 0.10 1.50 298.150
55 298.017 0.60 0.10 1.50 298.150
56 296.373 0.97 0.10 1.50 298.150
57 297.546 0.60 0.10 1.50 298.150
58 297.145 0.60 0.10 1.50 298.150
59 297.064 0.60 0.10 1.50 298.150
60 298.141 0.60 0.10 1.50 298.150
61 297.185 0.60 0.10 1.50 298.150
62 296.080 0.60 0.10 1.50 298.150
63 294.961 0.60 0.10 1.50 298.150
64 297.952 0.60 0.10 1.50 298.150
65 292.784 0.74 0.10 1.50 298.150
66 298.143 0.60 0.10 1.50 298.150
67 293.232 0.79 0.10 1.50 298.150
68 298.162 0.60 0.10 1.50 298.150
69 298.092 0.60 0.10 1.50 298.150
70 298.130 0.60 0.10 1.50 298.150
71 296.277 0.60 0.10 1.50 298.150
72 296.985 0.60 0.10 1.50 298.150
73 297.586 0.60 0.10 1.50 298.150
74 296.668 0.60 0.10 1.50 298.150
75 293.951 0.97 0.10 1.50 298.150
76 297.682 0.60 0.10 1.50 298.150
77 296.091 0.60 0.10 1.50 298.150
78 295.710 0.60 0.10 1.50 298.150
79 296.767 0.60 0.10 1.50 298.150
80 293.691 0.84 0.10 1.50 298.150
81 295.602 0.60 0.10 1.50 298.150
82 295.920 0.60 0.10 1.50 298.150
83 296.962 0.60 0.10 1.50 298.150
84 295.240 0.60 0.10 1.50 298.150
85 296.450 0.60 0.10 1.50 298.150
86 293.242 0.81 0.10 1.50 298.150
87 293.256 0.94 0.10 1.50 298.150
88 296.499 0.60 0.10 1.50 298.150
89 295.548 0.60 0.10 1.50 298.150
90 294.951 0.60 0.10 1.50 298.150
91 296.294 0.60 0.10 1.50 298.150
92 297.863 0.60 0.10 1.50 298.150
93 296.758 0.60 0.10 1.50 298.150
94 296.858 0.60 0.10 1.50 298.150
95 293.201 0.79 0.10 1.50 298.150
96 294.864 0.60 0.10 1.50 298.150
97 295.628 0.60 0.10 1.50 298.150
98 295.174 0.60 0.10 1.50 298.150
99 292.639 0.80 0.10 1.50 298.150
100 293.251 0.97 0.10 1.50 298.150
101 294.683 0.60 0.10 1.50 298.150
102 293.086 0.82 0.10 1.50 298.150
103 291.667 0.89 0.10 1.50 298.150
104 292.890 0.89 0.10 1.50 298.150
105 293.406 0.86 0.10 1.50 298.150
106 293.535 0.97 0.10 1.50 298.150
107 294.811 0.74 0.10 1.50 298.150
108 295.721 0.60 0.10 1.50 298.150
109 293.644 0.60 0.10 1.50 298.150
110 294.193 0.60 0.10 1.50 298.150
111 294.156 0.97 0.10 1.50 298.150
112 295.085 0.60 0.10 1.50 298.150
113 293.663 0.81 0.10 1.50 298.150
114 292.184 0.80 0.10 1.50 298.150
115 294.029 0.60 0.10 1.50 298.150
116 294.111 0.60 0.10 1.50 298.150
117 295.219 0.60 0.10 1.50 298.150
118 292.545 0.80 0.10 1.50 298.150
119 296.967 0.60 0.10 1.50 298.150
120 292.230 0.83 0.10 1.50 298.150
121 294.604 0.83 0.10 1.50 298.150
122 292.883 0.86 0.10 1.50 298.150
123 294.168 0.60 0.10 1.50 298.150
124 294.826 0.60 0.10 1.50 298.150
125 293.391 0.60 0.10 1.50 298.150
126 294.058 0.74 0.10 1.50 298.150
127 297.664 0.60 0.10 1.50 298.150
128 296.071 0.60 0.10 1.50 298.150
129 296.004 0.60 0.10 1.50 298.150
130 297.480 0.60 0.10 1.50 298.150
131 294.266 0.60 0.10 1.50 298.150
132 296.899 0.60 0.10 1.50 298.150
133 296.457 0.60 0.10 1.50 298.150
134 295.526 0.60 0.10 1.50 298.150
135 296.428 0.60 0.10 1.50 298.150
136 295.629 0.60 0.10 1.50 298.150
137 292.812 0.74 0.10 1.50 298.150
138 293.380 0.60 0.10 1.50 298.150
139 294.893 0.60 0.10 1.50 298.150
140 292.229 0.79 0.10 1.50 298.150
141 293.716 0.60 0.10 1.50 298.150
142 294.479 0.60 0.10 1.50 298.150
143 294.406 0.60 0.10 1.50 298.150
144 294.266 0.60 0.10 1.50 298.150
145 293.475 0.60 0.10 1.50 298.150
146 292.378 0.96 0.10 1.50 298.150
147 294.951 0.60 0.10 1.50 298.150
148 294.311 0.60 0.10 1.50 298.150
149 294.698 0.60 0.10 1.50 298.150
150 296.521 0.60 0.10 1.50 298.150
151 295.687 0.60 0.10 1.50 298.150
152 295.130 0.60 0.10 1.50 298.150
153 294.368 0.60 0.10 1.50 298.150
154 294.376 0.60 0.10 1.50 298.150
155 293.579 0.60 0.10 1.50 298.150
156 296.041 0.96 0.10 1.50 298.150
157 295.343 0.60 0.10 1.50 298.150
158 298.253 0.60 0.10 1.50 298.150
159 296.808 0.60 0.10 1.50 298.150
160 298.092 0.60 0.10 1.50 298.150
161 297.994 0.60 0.10 1.50 298.150
162 295.127 0.97 0.10 1.50 298.150
163 296.946 0.60 0.10 1.50 298.150
164 294.990 0.81 0.10 1.50 298.150
165 294.985 0.60 0.10 1.50 298.150
166 296.355 0.60 0.10 1.50 298.150
167 298.061 0.60 0.10 1.50 298.150
168 298.170 0.97 0.10 1.50 298.150
169 297.439 0.60 0.10 1.50 298.150
170 294.826 0.60 0.10 1.50 298.150
171 296.345 0.60 0.10 1.50 298.150
172 295.816 0.60 0.10 1.50 298.150
173 296.837 0.60 0.10 1.50 298.150
174 293.602 0.96 0.10 1.50 298.150
175 296.227 0.60 0.10 1.50 298.150
176 295.461 0.60 0.10 1.50 298.150
177 295.063 0.60 0.10 1.50 298.150
178 294.882 0.60 0.10 1.50 298.150
179 294.718 0.60 0.10 1.50 298.150
180 295.568 0.60 0.10 1.50 298.150
181 295.303 0.60 0.10 1.50 298.150
182 295.251 0.89 0.10 1.50 298.150
183 296.914 0.60 0.10 1.50 298.150
184 293.523 0.92 0.10 1.50 298.150
185 295.425 0.60 0.10 1.50 298.150
186 296.647 0.60 0.10 1.50 298.150
187 295.000 0.60 0.10 1.50 298.150
188 293.136 0.97 0.10 1.50 298.150
